time_step,source_neuron_1,source_neuron_2,neuron_distance,uniq_s1,uniq_s2,redun_s1_s2,syn_s1_s2,overlapping
9,3,76,0.92708231,0.090664019,0.122679222,0.022122607,0.133723123,0
10,3,76,0.92708231,0.116992721,0.103789216,0.017438041,0.201326359,0
11,3,76,0.92708231,0.119570393,0.142845846,0.012433542,0.146690264,0
12,3,76,0.92708231,0.09353121,0.1267344,0.025702539,0.227328199,0
13,3,76,0.92708231,0.094683911,0.121024697,0.017780918,0.194968255,0
14,3,76,0.92708231,0.124871287,0.138865458,0.019136308,0.220538583,0
15,3,76,0.92708231,0.101203929,0.112534726,0.019354987,0.216734187,0
16,3,76,0.92708231,0.161630218,0.092554001,0.01270347,0.187452974,0
17,3,76,0.92708231,0.105337275,0.09242594,0.013034446,0.187737247,0
18,3,76,0.92708231,0.093712228,0.107653786,0.012861394,0.21289536,0
19,3,76,0.92708231,0.084044168,0.125565979,0.011354585,0.19586608,0
20,3,76,0.92708231,0.089239576,0.094245515,0.009652034,0.168444851,0
21,3,76,0.92708231,0.114841942,0.089448846,0.021914026,0.190432809,0
22,3,76,0.92708231,0.114716901,0.086060487,0.01174163,0.200574592,0
23,3,76,0.92708231,0.07909996,0.083594105,0.010340782,0.167731569,0
24,3,76,0.92708231,0.106041162,0.133983638,0.009710031,0.227414928,0
25,3,76,0.92708231,0.107885184,0.112780875,0.011023559,0.236203606,0
9,141,207,0.47638985,0.09680095,0.111300783,0.015249959,0.203846034,0.030738483
10,141,207,0.47638985,0.079331844,0.123461828,0.010933221,0.185811406,0.030738483
11,141,207,0.47638985,0.110001888,0.116627842,0.006928267,0.170899557,0.030738483
12,141,207,0.47638985,0.132169341,0.07955359,0.015763653,0.193397996,0.030738483
13,141,207,0.47638985,0.094241778,0.083101633,0.013296903,0.198971987,0.030738483
14,141,207,0.47638985,0.110905002,0.131341229,0.019345414,0.17658296,0.030738483
15,141,207,0.47638985,0.118676893,0.114608916,0.015106961,0.181196942,0.030738483
16,141,207,0.47638985,0.123556719,0.081327065,0.014919483,0.225711687,0.030738483
17,141,207,0.47638985,0.107483118,0.109307446,0.016997505,0.223549387,0.030738483
18,141,207,0.47638985,0.084056302,0.075956664,0.009569507,0.208380777,0.030738483
19,141,207,0.47638985,0.102464308,0.083846211,0.010286436,0.174001531,0.030738483
20,141,207,0.47638985,0.125589285,0.093223203,0.024062528,0.161869849,0.030738483
21,141,207,0.47638985,0.089024983,0.11812534,0.01017608,0.216738603,0.030738483
22,141,207,0.47638985,0.114352237,0.113410987,0.007063877,0.166809775,0.030738483
23,141,207,0.47638985,0.147261676,0.113071155,0.026350134,0.201964249,0.030738483
24,141,207,0.47638985,0.111399799,0.112351336,0.021359454,0.239895902,0.030738483
25,141,207,0.47638985,0.091473116,0.140006898,0.017261686,0.210370186,0.030738483
9,104,205,0.89583059,0.095138607,0.151158169,0.017123032,0.248427778,0
10,104,205,0.89583059,0.107508793,0.115639942,0.010632226,0.175157653,0
11,104,205,0.89583059,0.113861335,0.085493402,0.014691174,0.192927054,0
12,104,205,0.89583059,0.082140137,0.108574958,0.014079634,0.180766298,0
13,104,205,0.89583059,0.100492919,0.069913152,0.007811556,0.151821355,0
14,104,205,0.89583059,0.105141438,0.142894473,0.015073611,0.193217835,0
15,104,205,0.89583059,0.118486378,0.110830544,0.013778659,0.201388354,0
16,104,205,0.89583059,0.101026369,0.089169205,0.012460799,0.160019317,0
17,104,205,0.89583059,0.139584083,0.103904064,0.009513687,0.172637821,0
18,104,205,0.89583059,0.122767301,0.084519792,0.009574749,0.173393783,0
19,104,205,0.89583059,0.120789337,0.118962693,0.015006004,0.169909564,0
20,104,205,0.89583059,0.075413735,0.09674467,0.01052011,0.200345475,0
21,104,205,0.89583059,0.103322393,0.108522807,0.010969044,0.178503735,0
